scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,amc_name,rating,sub_category,returns_1yr,Average_Returns,risk_level_2,risk_level_3,risk_level_4,risk_level_5,risk_level_6,category_Equity,category_Hybrid,category_Other,category_Solution Oriented
Aditya Birla SL Active Debt Multi-Mgr FoF-Dir Growth,100,100,0.27,10.0,10,Kaustubh Gupta,0.32,2.24,9.39,0.01,0.24,Aditya Birla Sun Life Mutual Fund,3,FoFs Domestic,4.0,5.8,False,True,False,False,False,False,False,True,False
Aditya Birla SL Arbitrage Fund,1000,1000,0.36,4288.0,10,Lovelish Solanki,1.33,1.53,0.72,0.56,1.1,Aditya Birla Sun Life Mutual Fund,3,Arbitrage Mutual Funds,5.6,5.3,False,False,False,False,False,False,True,False,False
Aditya Birla SL Asset Allocator FoF-Dir Growth,1000,1000,0.53,157.0,10,Vinod Narayan Bhat,3.44,2.67,10.58,0.67,1.42,Aditya Birla Sun Life Mutual Fund,3,FoFs Domestic,2.0,10.2,False,False,False,True,False,False,False,True,False
Aditya Birla SL Bal Bhavishya Yojna – Dir Growth,500,1000,0.76,637.0,4,Atul Penkar,2.18,-6.37,14.99,0.85,0.9,Aditya Birla Sun Life Mutual Fund,2,Childrens Funds,-0.7,8.200000000000001,False,False,False,False,True,False,False,False,True
Aditya Birla SL Balanced Advantage Fund,100,100,0.61,6386.0,10,Mohit Sharma,3.69,1.99,10.38,0.68,1.39,Aditya Birla Sun Life Mutual Fund,4,Dynamic Asset Allocation or Balanced Advantage,4.5,10.933333333333332,False,False,False,False,True,False,True,False,False
Aditya Birla SL Banking&Financial Services-DirGrowth,1000,1000,1.17,2384.0,9,Dhaval Gala,2.07,1.24,25.53,0.96,0.97,Aditya Birla Sun Life Mutual Fund,2,Sectoral / Thematic Mutual Funds,5.3,13.033333333333333,False,False,False,False,True,True,False,False,False
Aditya Birla SL Banking&PSU Debt Fund,1000,1000,0.37,7994.0,10,Kaustubh Gupta,1.92,4.46,1.91,1.78,1.09,Aditya Birla Sun Life Mutual Fund,4,Banking and PSU Mutual Funds,4.5,6.2,False,True,False,False,False,False,False,False,False
Aditya Birla SL CEF – Global Agri Plan-Direct Growth,1000,1000,1.29,15.0,10,Vinod Narayan Bhat,1.42,-,20.18,-,1.06,Aditya Birla Sun Life Mutual Fund,0,Sectoral / Thematic Mutual Funds,-10.3,9.466666666666667,False,False,False,False,True,True,False,False,False
Aditya Birla SL Corporate Bond Fund,100,100,0.31,12120.0,10,Kaustubh Gupta,2.28,2.38,1.93,0.78,1.35,Aditya Birla Sun Life Mutual Fund,4,Corporate Bond Mutual Funds,4.9,6.466666666666666,True,False,False,False,False,False,False,False,False
Aditya Birla SL Credit Risk Fund,100,100,0.69,1032.0,8,Sunaina da Cunha,1.82,3.01,2.9,-0.95,1.47,Aditya Birla Sun Life Mutual Fund,4,Credit Risk Funds,8.7,8.299999999999999,False,False,True,False,False,False,False,False,False
