Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Daily_Return,7-Day_MA,30-Day_MA,Volatility,RSI,Upper_Band,Lower_Band
2023-10-16,19737.25,19781.3,19691.85,19731.75,180964341.0,14746.01,,,,,,,
2023-10-17,19843.2,19849.75,19775.65,19811.5,185846716.0,16839.87,0.004041709427698992,,,,,,
2023-10-18,19820.45,19840.95,19659.95,19671.1,198942937.0,18581.64,-0.007086793024253635,,,,,,
2023-10-19,19545.2,19681.8,19512.35,19624.7,230312163.0,23582.01,-0.002358790306591807,,,,,,
2023-10-20,19542.15,19593.8,19518.7,19542.65,198341255.0,17944.31,-0.0041809556324428065,,,,,,
2023-10-23,19521.6,19556.85,19257.85,19281.75,176044288.0,16212.9,-0.013350287704072983,,,,,,
2023-10-25,19286.45,19347.3,19074.15,19122.15,225291741.0,19818.32,-0.008277256991714887,19540.8,,,,20041.55665414117,19040.043345858827
2023-10-26,19027.25,19041.7,18837.85,18857.25,300356469.0,28939.64,-0.013853044767455636,19415.87142857143,,,,20097.860922276286,18733.881934866575
2023-10-27,18928.75,19076.15,18926.65,19047.25,205201044.0,19947.48,0.010075700327460302,19306.692857142858,,,,19935.75807482321,18677.627639462506
2023-10-30,19053.4,19158.5,18940.0,19140.9,180132492.0,17095.73,0.004916720261455065,19230.95,,,,19777.52748154614,18684.37251845386
2023-10-31,19232.95,19233.7,19056.45,19079.6,206049341.0,19397.36,-0.0032025662325179116,19153.07857142857,,,,19580.11522815778,18726.04191469936
2023-11-01,19064.05,19096.05,18973.7,18989.15,194103279.0,18452.51,-0.004740665422755086,19074.007142857146,,,,19338.432434313712,18809.58185140058
2023-11-02,19120.0,19175.25,19064.15,19133.25,245595109.0,19771.49,0.007588543984327734,19052.79285714286,,,,19256.23556348027,18849.35015080545
2023-11-03,19241.0,19276.25,19210.9,19230.6,189516123.0,17304.87,0.005088001254360819,19068.285714285714,,,35.72589609265842,19309.405558030696,18827.16587054073
2023-11-06,19345.85,19423.0,19309.7,19411.75,180690631.0,16296.56,0.009419882894969644,19147.5,,,41.892619147286126,19426.445024452223,18868.554975547777
2023-11-07,19404.05,19423.5,19329.1,19406.7,198660124.0,18288.06,-0.0002601517122361452,19198.850000000002,,,39.289300816869265,19520.71157480091,18876.988425199095
2023-11-08,19449.6,19464.4,19401.5,19443.5,194967997.0,17060.45,0.0018962523252279428,19242.07857142857,,,43.700949219502,19606.136043343555,18878.021099513586
2023-11-09,19457.4,19463.9,19378.35,19395.3,208418472.0,19087.29,-0.0024789775503382128,19287.178571428572,,,43.64215200671997,19635.16919801277,18939.187944844376
2023-11-10,19351.85,19451.3,19329.45,19425.35,152215785.0,12916.21,0.001549344428804833,19349.492857142857,,,46.753936580907805,19587.169159625646,19111.81655466007
2023-11-12,19547.25,19547.25,19510.25,19525.55,37311902.0,2482.27,0.005158208217612481,19405.535714285714,,,58.20326037302615,19582.518893470267,19228.55253510116
2023-11-13,19486.75,19494.4,19414.75,19443.55,189275733.0,13527.22,-0.004199625618740543,19435.95714285714,,,61.392012522337076,19522.93954392324,19348.97474179104
2023-11-15,19651.4,19693.2,19579.65,19675.45,291464988.0,24957.24,0.011926834348665816,19473.62857142857,,,79.4735395067379,19670.58168646815,19276.675456388988
2023-11-16,19674.7,19875.25,19627.0,19765.2,282686669.0,26041.45,0.004561522099875814,19524.842857142856,,,77.78386746882276,19808.109441997516,19241.576272288195
2023-11-17,19674.75,19806.0,19667.45,19731.8,236827462.0,21681.28,-0.0016898387064133713,19566.028571428575,,,74.00922610713485,19876.620151359188,19255.43699149796
2023-11-20,19731.15,19756.45,19670.5,19694.0,173780543.0,16737.05,-0.001915689394784037,19608.7,,,75.53372370991531,19890.578437155662,19326.82156284434
2023-11-21,19770.9,19829.1,19754.05,19783.4,194969012.0,17947.2,0.004539453640702851,19659.850000000002,,,83.06746571096201,19915.156077744574,19404.54392225543
2023-11-22,19784.0,19825.55,19703.85,19811.85,184497984.0,17405.48,0.0014380743451578581,19700.75,,,81.21180653495774,19947.231412416124,19454.268587583876
2023-11-23,19828.45,19875.15,19786.75,19802.0,170024085.0,15906.94,-0.0004971771944567438,19751.957142857143,,,78.57318270949473,19858.020495443623,19645.893790270664
2023-11-24,19809.6,19832.85,19768.85,19794.7,145895044.0,14389.29,-0.00036864963135030404,19768.992857142857,,,73.1399158674451,19853.909491331236,19684.076222954478
2023-11-28,19844.65,19916.85,19800.0,19889.7,229595031.0,23043.25,0.004799264449574903,19786.778571428575,19475.446666666667,,76.28622689624207,19911.030356890413,19662.526785966736
2023-11-29,19976.55,20104.65,19956.3,20096.6,236241768.0,22367.64,0.0104023690653956,19838.89285714286,19487.608333333334,0.006505331451415293,79.91904127063492,20093.337536320636,19584.44817796508
2023-11-30,20108.5,20158.7,20015.85,20133.15,486585349.0,48877.95,0.0018187156036346686,19901.62857142857,19498.33,0.0064777483284436015,84.1957214800182,20201.80194276107,19601.45520009607
2023-12-01,20194.1,20291.55,20183.7,20267.9,265812566.0,22461.53,0.0066929417403636116,19970.84285714286,19518.223333333335,0.006405171902097459,85.55038004777478,20355.37592649912,19586.3097877866
